Observed concentration,Predicted concentration symbolic regression,Predicted concentration Eleveld,Predicted concentration neural network
2.93,3.3192341,2.3309522,2.8181942
1.58,3.2671583,2.2997015,2.7800553
2.87,3.2342696,2.2831864,2.7587795
3.15,3.2357244,2.2861545,2.761522
0.471,0.43982658,0.2761896,0.38819292
9.11,11.5604725,6.5048203,9.577122
8.16,11.245112,6.4799953,9.326974
8.8,10.872463,6.4557576,9.1837015
9.3,10.114923,6.377458,8.949008
9.35,9.895035,6.3579245,8.890038
10.3,9.679511,6.3284287,8.835354
10.6,9.607405,6.404894,8.95964
10.2,9.4038725,6.3389263,8.87213
10.8,9.224321,6.3193507,8.87753
10.5,9.269272,6.344258,8.922265
11.0,9.148498,6.286908,8.847053
12.5,9.114042,6.2827353,8.847461
12.7,9.126271,6.313876,8.908608
14.3,9.175978,6.3650937,8.9963255
0.32,0.3138334,0.20674248,0.3512686
0.241,0.3675165,0.24586517,0.4052119
0.427,0.7003992,0.44697884,0.7738508
0.547,0.7129311,0.46168274,0.7848031
6.43,5.7514453,3.7449565,6.425372
6.14,5.716468,3.752161,6.375388
6.97,5.711405,3.7616282,6.365228
6.33,5.686636,3.7830667,6.3182683
6.36,5.670315,3.7926269,6.281964
6.05,5.671686,3.8045475,6.2651258
5.78,5.747776,3.8524966,6.3406415
6.52,5.757887,3.8468163,6.3223886
7.65,5.9031525,3.8915665,6.4437733
7.73,5.912184,3.892231,6.4478807
7.99,5.8595314,3.850105,6.377527
9.15,5.903797,3.866448,6.417414
8.81,5.9265504,3.8752706,6.4380035
8.7,5.9487786,3.8840349,6.4580183
7.9,5.981071,3.8970284,6.4869018
8.13,6.022249,3.9140747,6.523382
9.82,6.133882,3.930609,6.563523
0.318,0.64834005,0.4920136,0.75660294
0.252,2.6309125,1.8600498,2.8701715
2.63,2.777169,2.126054,3.1857622
2.64,2.6910486,2.0362225,3.0253153
2.47,2.7053576,2.0317779,3.0107324
2.83,2.860983,2.0918422,3.0780694
2.14,2.9319742,2.1241012,3.1211424
2.48,2.8235393,2.0213368,2.9539528
3.0,2.8591616,2.0098155,2.9361537
2.82,2.8923442,2.0220823,2.9576683
3.31,2.922927,2.0343153,2.9789608
3.13,2.9684696,2.0533276,3.011429
2.86,2.9929671,2.0639768,3.0291615
3.15,3.0366676,2.0839117,3.0612464
3.34,3.056255,2.0933177,3.075816
4.17,3.0088384,2.0435398,3.000184
3.17,1.4394001,0.7907315,1.0342325
0.16,0.159211,0.11048903,0.1472902
10.3,9.591724,6.649578,10.506903
8.27,9.902307,6.8632007,10.04001
12.1,9.819854,6.788961,9.848931
12.1,9.763577,6.74346,9.727484
12.7,8.993986,6.2207594,8.756327
12.9,9.504795,6.5526247,9.541022
13.0,9.406844,6.5276184,9.290286
17.0,9.219371,6.4372416,9.120883
8.94,9.213117,6.463711,9.16368
