k10 [1/s],k12 [1/s],k21 [1/s],k13 [1/s],k31 [1/s],V1 [litres]
0.003676211,0.0035730088,0.0013970821,0.00047992467,7.4304015e-5,6.5873556
0.004412118,0.003832992,0.0019045916,0.00081456173,6.9439506e-5,4.971006
0.0041262913,0.004914353,0.0019822454,0.0011367158,7.581379e-5,4.45597
0.004026515,0.0035593729,0.0015222955,0.0006476696,7.560842e-5,5.580945
0.003880076,0.0037105742,0.0017141094,0.00059210026,7.145403e-5,6.582911
0.0044079935,0.004174035,0.0018697588,0.0009229994,7.276136e-5,4.7994037
0.004466567,0.0037163752,0.0019665486,0.000744684,6.631315e-5,5.0285854
0.0044643246,0.0040978286,0.0019413391,0.0008666279,6.992496e-5,4.778263
0.0041574384,0.0047568134,0.00204739,0.0012456388,7.910094e-5,4.1832733
0.0042593065,0.003408845,0.001729945,0.00078890624,7.827691e-5,4.2866187
0.0042712837,0.004512498,0.002005465,0.0011475348,7.9065074e-5,4.4435816
0.004520845,0.0036426059,0.0018394495,0.00090984866,7.6876946e-5,4.4893684
0.004479376,0.004118928,0.0019169175,0.001017786,7.768446e-5,4.504517
0.0038751375,0.0035683461,0.001524908,0.0005511952,7.370053e-5,6.0758066
0.0042368355,0.00461765,0.0019454772,0.0010964657,7.740727e-5,4.489457
0.0043608844,0.0044728946,0.0018998951,0.0009799909,7.313914e-5,4.7551947
0.0042400504,0.0045950613,0.0020554832,0.0012071747,7.952354e-5,4.26866
0.004402787,0.004415084,0.0019239025,0.0009502226,7.210289e-5,4.769952
0.0035999191,0.0035700642,0.0013327305,0.00045306073,7.474684e-5,6.7531815
0.0044167032,0.0040243324,0.0019119123,0.0008585083,7.037643e-5,4.879299
0.004304501,0.0045579514,0.0021086268,0.0012943672,8.025547e-5,4.2280726
0.0042423923,0.0037197296,0.0017696507,0.00076354085,7.295168e-5,5.078778
0.0040451386,0.0050235875,0.0019823373,0.001192707,7.5907636e-5,4.2831106
0.003699086,0.006064612,0.0019573322,0.0015633499,7.223406e-5,3.615756
0.0044143205,0.00432837,0.0019181551,0.0009326148,7.191357e-5,4.753973
0.004370377,0.0036769744,0.0017670698,0.00082764897,7.5102995e-5,4.802684
0.004179983,0.00488445,0.0021131388,0.0015074708,8.056142e-5,3.932057
0.0044801906,0.0042574173,0.0021415877,0.0012490813,8.073097e-5,4.395761
0.0037913295,0.0035774284,0.001495571,0.00052293914,7.363182e-5,6.32813
0.004412504,0.0037773654,0.0019181556,0.00079238846,6.850826e-5,5.046118
0.0044544316,0.004178156,0.0020340756,0.001118931,7.9328776e-5,4.456853
0.0037445421,0.003648562,0.0015174266,0.0005105953,7.3107214e-5,6.625992
0.0055972016,0.006585707,0.0023571537,0.0013568465,6.764113e-5,5.41517
0.0036035292,0.0054511013,0.0022706508,0.0010560193,5.8143243e-5,6.9216437
0.003564992,0.004865383,0.0022011308,0.001027772,5.6926492e-5,7.195
0.0065169176,0.00511194,0.0019730283,0.0008643663,5.912886e-5,6.2226176
0.0034045954,0.0055899466,0.0021725618,0.001105817,5.7875903e-5,6.644784
0.006684043,0.006215362,0.0022654945,0.0010363196,6.3105734e-5,4.8391113
0.005813054,0.006250443,0.0022619627,0.0012422232,6.5553984e-5,5.7887235
0.0034245483,0.0047225775,0.002078065,0.0010919173,5.5088294e-5,6.8151007
0.0068570385,0.0048525343,0.0021870336,0.0007316643,5.582098e-5,4.9429584
0.0050706095,0.0069142114,0.0024122288,0.0016252308,7.379293e-5,5.1260934
0.0037825967,0.005150826,0.0022302968,0.0010333465,5.723878e-5,7.0686493
0.003438854,0.0047661155,0.0020662616,0.0011012403,5.4378917e-5,6.6565695
0.0035246152,0.0064275977,0.0022096913,0.0013497085,5.993865e-5,5.9355836
0.007192708,0.005804205,0.0023729717,0.0010398466,6.274617e-5,4.190857
0.0039628865,0.0044485624,0.0021251254,0.0009719087,5.333114e-5,7.1091437
0.0075496915,0.004011703,0.002361949,0.0006733405,5.1783718e-5,4.270031
0.006822217,0.0060965247,0.002277597,0.0010130143,6.2417355e-5,4.6760745
0.006124701,0.0065901163,0.0023308515,0.0012602236,6.6837696e-5,5.2996407
0.0038095606,0.006004195,0.002311498,0.0011991546,5.8706384e-5,6.1376796
0.0035422966,0.005423691,0.0022477787,0.001060626,5.8236285e-5,6.9852633
